	gid	accident_cnt	geometry	schoolzone_num	safetysign_num	bump_num	child_num	school_num	facility_num	signal_num	busstop_num	crosswalk_num	sidewalk_num	ill_park	car_num	node	park_YN	foot_traf_mean	traffic	bigcar_ratio	rushhour_freq	road_width
39	다사577084	0	MULTIPOLYGON (((127.0235085361586 37.17340236363158, 127.0235028756548 37.17430374886116, 127.0246293110012 37.17430827320213, 127.0246349581249 37.17340688782566, 127.0235085361586 37.17340236363158)))	0	0	0	0.0	0	0	1	0	1	0	0	0	0	0	396.79336011904775	5123.105000000001	0.2072981678633516	4.395	0.75
40	다사577085	0	MULTIPOLYGON (((127.0235028756548 37.17430374886116, 127.0234972148991 37.17520513395252, 127.0246236636263 37.17520965844043, 127.0246293110012 37.17430827320213, 127.0235028756548 37.17430374886116)))	0	1	0	0.0	0	0	0	0	0	4	0	0	0	0	110.20793981481482	5192.2825	0.20937150897964046	12.4425	0.75
41	다사577086	0	MULTIPOLYGON (((127.0234972148991 37.17520513395252, 127.0234915538914 37.17610651890572, 127.024618016 37.17611104354054, 127.0246236636263 37.17520965844043, 127.0234972148991 37.17520513395252)))	0	0	0	0.0	0	0	0	0	0	4	0	0	0	0	33.71277777777778	5261.46	0.21144485009592934	20.49	0.75
42	다사577087	0	MULTIPOLYGON (((127.0234915538914 37.17610651890572, 127.0234858926319 37.17700790372072, 127.0246123681223 37.17701242850246, 127.024618016 37.17611104354054, 127.0234915538914 37.17610651890572)))	0	0	0	0.0	0	0	0	0	0	4	0	0	0	0	20.06587121212121	4486.9975	0.2403019526949505	19.2	0.625
43	다사577088	0	MULTIPOLYGON (((127.0234858926319 37.17700790372072, 127.0234802311203 37.17790928839752, 127.0246067199933 37.17791381332619, 127.0246123681223 37.17701242850246, 127.0234858926319 37.17700790372072)))	0	1	0	0.0	0	0	0	0	0	1	0	14	0	0	92.129375	3712.535	0.2691590552939718	17.91	0.5
44	다사577109	0	MULTIPOLYGON (((127.02336694796 37.19593695291063, 127.0233612811546 37.19683833468504, 127.0244880511985 37.19684286270002, 127.0244937046088 37.19594148077861, 127.02336694796 37.19593695291063)))	0	0	0	0.0	0	15	0	2	0	2	0	42	0	0	78.96572916666666	2639.7200000000007	0.20634183819062504	47.015	0.5
45	다사577110	0	MULTIPOLYGON (((127.0233612811546 37.19683833468504, 127.023355614097 37.19773971632124, 127.0244823975365 37.19774424448322, 127.0244880511985 37.19684286270002, 127.0233612811546 37.19683833468504)))	0	0	0	0.0	0	0	0	0	0	1	0	9	1	0	91.89104166666668	11768.23	0.18244806809967984	23.685	0.5833333333333334
46	다사578083	0	MULTIPOLYGON (((127.0246406049972 37.17250550231098, 127.0246349581249 37.17340688782566, 127.0257613803424 37.17341140131261, 127.0257670138352 37.17251001565138, 127.0246406049972 37.17250550231098)))	0	0	0	0.0	0	0	0	0	3	0	0	0	0	0	825.0223958333335	4886.467500000002	0.21556556851453115	10.24	0.75
47	다사578084	0	MULTIPOLYGON (((127.0246349581249 37.17340688782566, 127.0246293110012 37.17430827320213, 127.025755746599 37.17431278683566, 127.0257613803424 37.17341140131261, 127.0246349581249 37.17340688782566)))	0	0	0	0.0	0	0	3	0	3	0	0	1	0	0	242.8779301948053	4886.467500000002	0.21556556851453115	10.24	0.75
48	다사578086	0	MULTIPOLYGON (((127.0246236636263 37.17520965844043, 127.024618016 37.17611104354054, 127.0257444783599 37.17611555746721, 127.0257501126048 37.17521417222053, 127.0246236636263 37.17520965844043)))	0	0	0	0.0	0	0	0	0	0	2	0	17	0	0	61.67786458333334	5261.46	0.21144485009592934	20.49	0.75
49	다사578087	0	MULTIPOLYGON (((127.024618016 37.17611104354054, 127.0246123681223 37.17701242850246, 127.0257388438642 37.17701694257572, 127.0257444783599 37.17611555746721, 127.024618016 37.17611104354054)))	0	1	0	0.0	0	0	4	1	0	7	0	0	1	0	71.94802083333335	5330.81625	0.22017258809668053	32.25125	0.6875
50	다사578088	0	MULTIPOLYGON (((127.0246123681223 37.17701242850246, 127.0246067199933 37.17791381332619, 127.0257332091177 37.17791832754602, 127.0257388438642 37.17701694257572, 127.0246123681223 37.17701242850246)))	0	4	0	0.0	0	0	2	2	0	6	0	3	1	0	27.37302083333333	4121.47625	0.2677321228466102	35.74	0.5625
51	다사578089	0	MULTIPOLYGON (((127.0246067199933 37.17791381332619, 127.0246010716129 37.17881519801172, 127.0257275741205 37.17881971237814, 127.0257332091177 37.17791832754602, 127.0246067199933 37.17791381332619)))	0	0	0	0.0	0	0	0	0	0	0	0	8	0	0	47.378229166666664	2158.5750000000007	0.3380760868119289	32.665	0.5
52	다사578109	0	MULTIPOLYGON (((127.0244937046088 37.19594148077861, 127.0244880511985 37.19684286270002, 127.025614821494 37.19684737999885, 127.0256204615093 37.19594599793077, 127.0244937046088 37.19594148077861)))	1	0	0	6.0	0	0	0	0	0	0	0	36	0	0	16.517291666666665	14931.6575	0.19065127869262385	23.5475	0.75
54	다사579079	0	MULTIPOLYGON (((127.0257895452992 37.16890447162463, 127.0257839128092 37.16980585783858, 127.0269102817628 37.16981036003358, 127.0269159008756 37.16890897367342, 127.0257895452992 37.16890447162463)))	0	3	0	0.0	0	0	10	0	5	0	203	0	1	0	8.674289772727274	3016.77125	0.2556267975326509	37.8725	0.75
55	다사579080	0	MULTIPOLYGON (((127.0257839128092 37.16980585783858, 127.0257782800686 37.17070724391435, 127.0269046623999 37.17071174625556, 127.0269102817628 37.16981036003358, 127.0257839128092 37.16980585783858)))	0	0	0	0.0	0	0	0	0	2	0	0	0	0	0	0.37935064935064944	3958.775	0.2376738043784118	16.86	0.75
58	다사579083	0	MULTIPOLYGON (((127.0257670138352 37.17251001565138, 127.0257613803424 37.17341140131261, 127.0268878028108 37.17341590409246, 127.0268934229239 37.172514518285, 127.0257670138352 37.17251001565138)))	0	3	0	0.0	0	0	5	0	4	0	0	0	1	0	532.3183482142856	4304.302500000002	0.23075338677206125	16.4725	0.75
59	다사579088	0	MULTIPOLYGON (((127.0257388438642 37.17701694257572, 127.0257332091177 37.17791832754602, 127.0268596984928 37.17792283105698, 127.0268653198568 37.17702144594045, 127.0257388438642 37.17701694257572)))	0	0	0	0.0	0	0	1	0	0	4	0	2	0	0	11.780132575757575	6817.5625	0.19623349059538714	25.13	0.75
60	다사579089	0	MULTIPOLYGON (((127.0257332091177 37.17791832754602, 127.0257275741205 37.17881971237814, 127.0268540768788 37.17882421603535, 127.0268596984928 37.17792283105698, 127.0257332091177 37.17791832754602)))	0	0	0	0.0	0	0	0	0	0	4	0	12	0	0	65.30010416666666	4487.2725	0.2643029360768439	30.79	0.625
61	다사579109	0	MULTIPOLYGON (((127.0256204615093 37.19594599793077, 127.025614821494 37.19684737999885, 127.0267415920406 37.19685188658152, 127.0267472186608 37.19595050436713, 127.0256204615093 37.19594599793077)))	1	1	0	0.0	0	0	0	0	0	1	0	7	0	0	31.879166666666666	12951.073999999999	0.189167705445206	22.23	0.65
62	다사579110	0	MULTIPOLYGON (((127.025614821494 37.19684737999885, 127.0256091812277 37.19774876192871, 127.02673596517 37.19775326865769, 127.0267415920406 37.19685188658152, 127.025614821494 37.19684737999885)))	0	0	0	0.0	0	0	0	0	0	1	0	10	0	0	3.8981818181818175	27223.595	0.17496071919462264	0.08	1.0
63	다사580078	0	MULTIPOLYGON (((127.0269215197383 37.16800758717508, 127.0269159008756 37.16890897367342, 127.028042256702 37.16891346501683, 127.028047862188 37.16801207837265, 127.0269215197383 37.16800758717508)))	0	0	0	64.0	1	1	0	0	2	0	0	2819	1	0	37.6365625	2069.648333333333	0.2908833438445377	81.92833333333333	0.6666666666666666
64	다사580079	0	MULTIPOLYGON (((127.0269159008756 37.16890897367342, 127.0269102817628 37.16981036003358, 127.0280366509664 37.16981485152283, 127.028042256702 37.16891346501683, 127.0269159008756 37.16890897367342)))	1	0	0	0.0	1	0	1	0	3	0	0	0	0	0	11.574640151515153	2316.0916666666667	0.27625985614784426	55.20333333333334	0.6666666666666666
65	다사580080	0	MULTIPOLYGON (((127.0269102817628 37.16981036003358, 127.0269046623999 37.17071174625556, 127.0280310449813 37.17071623789069, 127.0280366509664 37.16981485152283, 127.0269102817628 37.16981036003358)))	1	0	0	0.0	0	0	4	2	3	0	10	0	0	0	7.814554924242425	2324.453333333333	0.2745904643738977	38.57833333333335	0.6666666666666666
66	다사580089	0	MULTIPOLYGON (((127.0268596984928 37.17792283105698, 127.0268540768788 37.17882421603535, 127.0279805798873 37.17882870898335, 127.0279861881182 37.1779273238591, 127.0268596984928 37.17792283105698)))	0	0	0	0.0	0	0	0	0	0	6	0	0	0	0	32.052187499999995	4487.2725	0.2643029360768439	30.79	0.625
67	다사580090	0	MULTIPOLYGON (((127.0268540768788 37.17882421603535, 127.0268484550145 37.17972560087551, 127.0279749714068 37.1797300939694, 127.0279805798873 37.17882870898335, 127.0268540768788 37.17882421603535)))	0	0	0	0.0	0	0	1	0	0	6	0	5	1	0	104.01572916666666	2286.4400000000005	0.33547736597138955	29.025	0.5
68	다사580091	0	MULTIPOLYGON (((127.0268484550145 37.17972560087551, 127.0268428329 37.18062698557749, 127.0279693626766 37.18063147881728, 127.0279749714068 37.1797300939694, 127.0268484550145 37.17972560087551)))	0	0	0	0.0	0	0	0	0	0	0	0	3	0	1	69.31055555555554	99.81	0.006007597505932704	0.0	0.25
69	다사580108	0	MULTIPOLYGON (((127.0267528450306 37.19504912201455, 127.0267472186608 37.19595050436713, 127.0278739760627 37.19595500008767, 127.027879589038 37.19505361758915, 127.0267528450306 37.19504912201455)))	0	0	0	0.0	0	0	0	0	0	1	0	7	0	0	4.951979166666666	10989.123333333337	0.1847368345170889	19.623333333333328	0.75
70	다사580109	0	MULTIPOLYGON (((127.0267472186608 37.19595050436713, 127.0267415920406 37.19685188658152, 127.0278683628376 37.19685638244803, 127.0278739760627 37.19595500008767, 127.0267472186608 37.19595050436713)))	0	0	0	0.0	0	0	0	0	0	2	0	0	0	0	12.198125000000005	15212.83	0.1727933759615322	5.69625	0.6875
71	다사581070	0	MULTIPOLYGON (((127.0280926970972 37.1608009802452, 127.0280870936064 37.1617023679947, 127.029213342686 37.16170684746879, 127.0292189328048 37.1608054595738, 127.0280926970972 37.1608009802452)))	0	0	0	0.0	0	0	4	0	0	2	1	0	0	0	35.922888257575764	7818.04	0.14433152290868195	70.83500000000002	1.0
72	다사581072	0	MULTIPOLYGON (((127.0280814898663 37.16260375560604, 127.0280758858768 37.16350514307921, 127.0292021617019 37.16350962284426, 127.0292077523183 37.1626082352256, 127.0280814898663 37.16260375560604)))	0	1	0	0.0	0	0	1	0	2	0	0	4	0	0	18.444645833333336	421.31	0.06415703401295958	59.48	0.5
73	다사581073	0	MULTIPOLYGON (((127.0280758858768 37.16350514307921, 127.0280702816379 37.16440653041423, 127.0291965708366 37.16441101032476, 127.0292021617019 37.16350962284426, 127.0280758858768 37.16350514307921)))	0	0	0	0.0	0	0	0	0	2	0	1	2	0	0	3.214236111111111	421.31	0.06415703401295958	59.48	0.5
74	다사581079	0	MULTIPOLYGON (((127.028042256702 37.16891346501683, 127.0280366509664 37.16981485152283, 127.0291630204195 37.16981933230637, 127.0291686127778 37.16891794565485, 127.028042256702 37.16891346501683)))	1	0	0	30.0	0	0	0	0	0	0	0	0	0	0	25.936893939393936	1262.8083333333334	0.3026050435692821	84.33666666666666	0.5
75	다사581080	0	MULTIPOLYGON (((127.0280366509664 37.16981485152283, 127.0280310449813 37.17071623789069, 127.0291574278123 37.17072071881972, 127.0291630204195 37.16981933230637, 127.0280366509664 37.16981485152283)))	1	0	0	73.0	0	0	2	0	2	0	0	0	0	0	18.67880681818182	2221.1075	0.2808825428961477	50.035	0.625
76	다사581081	0	MULTIPOLYGON (((127.0280310449813 37.17071623789069, 127.0280254387468 37.17161762412036, 127.0291518349562 37.17162210519491, 127.0291574278123 37.17072071881972, 127.0280310449813 37.17071623789069)))	0	3	0	0.0	0	0	7	0	4	2	57	3	1	0	0.4845170454545454	2883.563333333333	0.2406949387777232	38.59	0.5833333333333334
77	다사581082	0	MULTIPOLYGON (((127.0280254387468 37.17161762412036, 127.0280198322628 37.17251901021185, 127.0291462418511 37.17252349143192, 127.0291518349562 37.17162210519491, 127.0280254387468 37.17161762412036)))	0	1	0	0.0	0	0	0	0	1	2	1	3	0	0	6.908399621212121	1338.445	0.2626259999757896	76.315	0.5
78	다사581083	0	MULTIPOLYGON (((127.0280198322628 37.17251901021185, 127.0280142255292 37.17342039616517, 127.0291406484972 37.17342487753076, 127.0291462418511 37.17252349143192, 127.0280198322628 37.17251901021185)))	0	0	0	0.0	0	0	0	0	0	0	0	2	1	0	16.258687169312168	1338.445	0.2626259999757896	76.315	0.5
79	다사581089	0	MULTIPOLYGON (((127.0279861881182 37.1779273238591, 127.0279805798873 37.17882870898335, 127.0291070831454 37.17883319122213, 127.0291126779931 37.17793180595235, 127.0279861881182 37.1779273238591)))	0	0	0	0.0	0	0	1	0	0	3	0	8	0	0	27.561530303030306	6815.9699999999975	0.19052978534175893	28.915	0.75
80	다사581090	0	MULTIPOLYGON (((127.0279805798873 37.17882870898335, 127.0279749714068 37.1797300939694, 127.0291014880487 37.17973457635374, 127.0291070831454 37.17883319122213, 127.0279805798873 37.17882870898335)))	0	3	0	0.0	0	0	8	2	0	9	0	4	0	1	80.685625	5402.211666666667	0.24731315347859395	31.471666666666675	0.6666666666666666
81	다사581091	0	MULTIPOLYGON (((127.0279749714068 37.1797300939694, 127.0279693626766 37.18063147881728, 127.0290958927029 37.18063596134716, 127.0291014880487 37.17973457635374, 127.0279749714068 37.1797300939694)))	0	0	0	0.0	0	0	0	0	0	2	0	1	0	1	54.33578125	1993.31	0.35533731172658456	54.473333333333336	0.5
82	다사581107	0	MULTIPOLYGON (((127.0278852017635 37.1941522349524, 127.027879589038 37.19505361758915, 127.0290063332952 37.19505810244826, 127.0290119326268 37.19415671966592, 127.0278852017635 37.1941522349524)))	0	1	0	0.0	0	0	0	0	1	2	0	35	0	0	61.27860795454546	3343.48	0.1842657076323288	36.765	0.5
83	다사581108	0	MULTIPOLYGON (((127.027879589038 37.19505361758915, 127.0278739760627 37.19595500008767, 127.0290007337144 37.19595948509242, 127.0290063332952 37.19505810244826, 127.027879589038 37.19505361758915)))	0	2	0	0.0	0	0	4	1	5	7	0	0	2	0	317.2527083333334	12080.615625	0.1726409187598064	17.5775	0.71875
84	다사581109	0	MULTIPOLYGON (((127.0278739760627 37.19595500008767, 127.0278683628376 37.19685638244803, 127.0289951338844 37.19686086759836, 127.0290007337144 37.19595948509242, 127.0278739760627 37.19595500008767)))	0	0	0	0.0	0	0	1	0	1	3	0	0	0	0	46.730625	11739.865	0.1583517235131829	10.98	0.5833333333333334
85	다사582070	0	MULTIPOLYGON (((127.0292189328048 37.1608054595738, 127.029213342686 37.16170684746879, 127.0303395920143 37.16171131624024, 127.0303451687613 37.16080992820014, 127.0292189328048 37.1608054595738)))	0	0	0	0.0	0	0	0	0	0	3	0	0	0	0	51.88035511363636	7845.045	0.1435196411477528	62.865	1.0
86	다사582072	0	MULTIPOLYGON (((127.0292077523183 37.1626082352256, 127.0292021617019 37.16350962284426, 127.0303284377757 37.163514091906, 127.0303340150191 37.16261270414219, 127.0292077523183 37.1626082352256)))	0	1	0	0.0	0	0	6	0	3	0	0	18	1	0	20.756780303030304	816.0566666666667	0.13696208465315074	52.85333333333333	0.5
87	다사582073	0	MULTIPOLYGON (((127.0292021617019 37.16350962284426, 127.0291965708366 37.16441101032476, 127.0303228602841 37.16441547953164, 127.0303284377757 37.163514091906, 127.0292021617019 37.16350962284426)))	0	1	0	0.0	0	0	0	0	0	0	0	9	0	0	4.361374007936508	829.46	0.19087085020251585	72.05000000000003	0.5
88	다사582074	0	MULTIPOLYGON (((127.0291965708366 37.16441101032476, 127.0291909797225 37.16531239766711, 127.0303172825443 37.16531686701912, 127.0303228602841 37.16441547953164, 127.0291965708366 37.16441101032476)))	0	0	0	0.0	0	0	0	0	1	0	0	0	0	0	39.49397916666667	829.46	0.19087085020251585	72.05000000000003	0.5
89	다사582075	0	MULTIPOLYGON (((127.0291909797225 37.16531239766711, 127.0291853883596 37.16621378487129, 127.0303117045563 37.16621825436845, 127.0303172825443 37.16531686701912, 127.0291909797225 37.16531239766711)))	0	3	0	0.0	0	0	8	0	4	0	0	3	1	0	24.37617897727273	881.0616666666666	0.13362697145902766	57.52500000000001	0.5
90	다사582076	0	MULTIPOLYGON (((127.0291853883596 37.16621378487129, 127.0291797967479 37.16711517193731, 127.03030612632 37.16711964157962, 127.0303117045563 37.16621825436845, 127.0291853883596 37.16621378487129)))	0	0	0	0.0	0	0	0	0	1	0	0	0	0	0	4.8836458333333335	1031.7149999999997	0.1736489620612344	54.78	0.5
92	다사582081	0	MULTIPOLYGON (((127.0291574278123 37.17072071881972, 127.0291518349562 37.17162210519491, 127.0302782314144 37.17162657556303, 127.0302838108921 37.17072518904267, 127.0291574278123 37.17072071881972)))	0	0	0	0.0	0	0	0	0	1	0	21	0	0	0	42.58593750000001	4404.262500000002	0.21952986578101008	10.775	0.5
93	다사582090	0	MULTIPOLYGON (((127.0291070831454 37.17883319122213, 127.0291014880487 37.17973457635374, 127.0302280049395 37.17973904802852, 127.0302335866525 37.17883766275171, 127.0291070831454 37.17883319122213)))	0	0	0	0.0	0	0	0	0	0	4	0	6	0	0	12.006927083333334	7299.765000000001	0.1885541283201233	9.05	0.75
94	다사582091	0	MULTIPOLYGON (((127.0291014880487 37.17973457635374, 127.0290958927029 37.18063596134716, 127.0302224229782 37.18064043316713, 127.0302280049395 37.17973904802852, 127.0291014880487 37.17973457635374)))	0	0	0	0.0	0	0	0	0	0	4	0	0	0	0	11.16078125	4724.717500000002	0.2607087524417991	25.57500000000001	0.625
95	다사582092	0	MULTIPOLYGON (((127.0290958927029 37.18063596134716, 127.0290902971081 37.1815373462024, 127.0302168407684 37.18154181816758, 127.0302224229782 37.18064043316713, 127.0290958927029 37.18063596134716)))	0	0	0	0.0	0	0	0	0	0	2	0	1	0	0	10.11234375	2149.67	0.3328633765634749	42.1	0.5
96	다사582107	0	MULTIPOLYGON (((127.0290119326268 37.19415671966592, 127.0290063332952 37.19505810244826, 127.0301330778016 37.1950625765919, 127.0301386637393 37.19416119366429, 127.0290119326268 37.19415671966592)))	0	0	0	0.0	0	0	0	1	0	2	0	4	0	0	161.60016098484854	8701.281250000002	0.19496546361198508	17.447499999999998	0.5625
97	다사582108	0	MULTIPOLYGON (((127.0290063332952 37.19505810244826, 127.0290007337144 37.19595948509242, 127.0301274916154 37.1959639593813, 127.0301330778016 37.1950625765919, 127.0290063332952 37.19505810244826)))	0	0	0	0.0	0	13	0	1	4	6	14	1	0	0	427.4258333333333	5994.230000000001	0.18960348737019475	38.7325	0.6666666666666666
98	다사582109	0	MULTIPOLYGON (((127.0290007337144 37.19595948509242, 127.0289951338844 37.19686086759836, 127.0301219051805 37.19686534203252, 127.0301274916154 37.1959639593813, 127.0290007337144 37.19595948509242)))	0	1	0	33.0	0	0	0	0	2	4	0	1	1	0	118.15666666666664	3932.939	0.1884685618353953	26.773000000000003	0.65
99	다사582110	0	MULTIPOLYGON (((127.0289951338844 37.19686086759836, 127.0289895338051 37.1977622499661, 127.0301163184969 37.19776672454552, 127.0301219051805 37.19686534203252, 127.0289951338844 37.19686086759836)))	0	0	0	0.0	0	0	0	0	0	4	0	10	0	0	165.21436458333332	6115.515000000001	0.16864512871503656	23.4425	1.0
100	다사583070	0	MULTIPOLYGON (((127.0303451687613 37.16080992820014, 127.0303395920143 37.16171131624024, 127.0314658415907 37.16171577430909, 127.0314714049658 37.1608143861242, 127.0303451687613 37.16080992820014)))	0	1	0	0.0	0	0	2	0	1	3	0	0	0	0	232.79411174242423	7845.045	0.1435196411477528	62.865	1.0
101	다사583072	0	MULTIPOLYGON (((127.0303340150191 37.16261270414219, 127.0303284377757 37.163514091906, 127.0314547140978 37.16351855026441, 127.0314602779681 37.16261716235583, 127.0303340150191 37.16261270414219)))	0	1	0	0.0	0	0	0	0	2	3	0	9	0	0	28.701197916666665	1197.4	0.15585836974397693	27.03	0.5
102	다사583075	0	MULTIPOLYGON (((127.0303172825443 37.16531686701912, 127.0303117045563 37.16621825436845, 127.0314380210011 37.16622271316125, 127.0314435856143 37.16532132566714, 127.0303172825443 37.16531686701912)))	0	0	0	0.0	0	0	0	0	0	0	0	28	0	0	42.14022222222222	782.01	0.03636110211333274	45.74500000000001	0.5
103	다사583077	0	MULTIPOLYGON (((127.03030612632 37.16711964157962, 127.0303005478354 37.16802102865263, 127.0314268910318 37.16802548773504, 127.0314324561403 37.16712410051723, 127.03030612632 37.16711964157962)))	0	0	0	0.0	0	0	0	0	1	0	0	0	0	0	8.740857142857143	1031.7149999999997	0.1736489620612344	54.78	0.5
